0,Sentiment,neg,neu,pos,compound
yay yay   above  smart money will enter the market and projects with real-world utility will pump hard  💸let  dive into fundamental analysis to identify the moonshot projects 🚀pls share your moonshots with at least one reason,Positivo,0.032,0.703,0.265,0.8834
#bitcoin / now run it to,Neutro,0.0,1.0,0.0,0.0
"this came from a trader that shared the bottom and the top of and now this projection is playing out. imagine the noise of your favorite guru if he would be this accurate 🥶> [](> /usd vs /btc > > who else masters  macro like the lion?! (rhetorical question). let  continue with  > > the fractal you do not  deserve to see. > > yes, 𝕏 dumped on us, but it  not over yet. macro always superior. aligning with the bearish  scenario which…",Positivo,0.022,0.798,0.18,0.8832
"we just had a very nice and healthy month long vertical accumulation on #btc, these sideways corrections build steam for the next leg up which i believe will take us up to + minimum.🎅enjoy the santa rally, ho ho ho🎅",Positivo,0.0,0.852,0.148,0.7233
woof,Neutro,0.0,1.0,0.0,0.0
"good morning> [](> #btc > in ew terms: printing a whole serie of 1-2  (legs, sub legs, sub sub legs) > this is called ""nesting"" > > it  usually the build-up before a massive move that will send us straight to valhalla 🚀",Positivo,0.0,0.876,0.124,0.5859
gm 👀#bitcoin,Neutro,0.0,1.0,0.0,0.0
"picked up a bag of thesis: i thought about starting up a stream tonight (on yt, not theta) then i remembered theta existed, so i checked the chart, liked it, and longed it",Positivo,0.0,0.906,0.094,0.4215
dogtimeee!,Neutro,0.0,1.0,0.0,0.0
you are still fading this flywheel are not  you anon?,Neutro,0.0,1.0,0.0,0.0
getting sended aswell.🔥> [](> can we giga send > > cauz it looks like about to explode,Positivo,0.0,0.848,0.152,0.3612
"timing is crucial. at times, you recognize the potential years in advance, like with  and the #rwa sector. it  nearly 7x up since re-entry, and there  still significant room for growth.do not  dismiss projects after your first idea got invalidated. observe like a lion.",Positivo,0.0,0.855,0.145,0.7003
"the key to understanding a #crypto bull market.#bitcoin is king. it leads the alts higher, and when it pulls back, you do not  want to be left holding the dogshit.",Negativo,0.042,0.958,0.0,-0.0572
"dog coins on the move.with more and more  being locked in long-term staking, i think this one will surprise many.disc: floki sponsors my content",Positivo,0.0,0.913,0.087,0.2732
#btc i drew this back in august. target reached. gonna have to find something new for today  yt update. if you want an update?,Positivo,0.0,0.886,0.114,0.1779
moon mission 🚀🌙> [](> هل الرسم البياني منطقي أم لا، لنكون صادقين> > #btc,Neutro,0.0,1.0,0.0,0.0
think  back to 0.30 soon,Neutro,0.0,1.0,0.0,0.0
what price is  going to open up at today?#bitcoin up 10% since friday’s close. is a big level for coin so that should be doable at today’s open.friday close was .> [](> what do they know? > > most insane & consistent twap i have  seen on a stock lol.,Negativo,0.07,0.872,0.058,-0.1414
"this one is starting to  me off, send it",Neutro,0.0,1.0,0.0,0.0
capo is shorting  to 40 lmao,Positivo,0.0,0.562,0.438,0.5994
🚀 😎> [](>  👀,Neutro,0.0,1.0,0.0,0.0
remember: parabola  eventually break.this probably ends in a mini-blow off & pullback - which will be the golden opportunity to omega long.#bitcoin (& altcoins!)> [](> parabolic advance.> > dips are for buying.> > #bitcoin,Positivo,0.0,0.901,0.099,0.4753
starting to break out. looks like it has some catching up to do to get above the 99sma soon,Positivo,0.0,0.878,0.122,0.3612
first touch of the 22ema in over a month key bounce area,Neutro,0.0,1.0,0.0,0.0
presented without commentthe #bitcoin yearly chart:,Neutro,0.0,1.0,0.0,0.0
".000 before the year is out ✅#bitcoin> [](> everything is going to plan.> > ,000 before the year is out. > > #bitcoin",Neutro,0.0,1.0,0.0,0.0
do not  tell anyone! when few followed me > [](>  we are best friends📌,Positivo,0.0,0.728,0.272,0.6696
could be getting a lil frothy here short termcareful with the leveragelong flushes are common in  bull markets do not  fuck yourselves,Positivo,0.0,0.875,0.125,0.431
#btc mempool is more congested than at the peak of the 2017 bull run 👀 👀,Neutro,0.0,1.0,0.0,0.0
closed  long from yesterday now we watch and see what happens next,Neutro,0.0,1.0,0.0,0.0
#bitcoin was done with the range and so was i.we have  had some deviations along the way but overall this range was respected rather well and caused for a nice continuation.,Positivo,0.0,0.72,0.28,0.8885
showing the way by dalai-lamaing the flash crash.,Negativo,0.278,0.722,0.0,-0.4019
likes to consolidate & then pump with no warning 🎯,Negativo,0.371,0.403,0.226,-0.2023
massive stop hunt today. look for that low to hold as a spring if it  going to push higher,Negativo,0.212,0.788,0.0,-0.5106
"interesting. #bitcoin still stronger than most alts.might have jumped the gun too early on that altcoin rotation. back to spot, taking the rest of the day off.",Positivo,0.076,0.757,0.167,0.4404
okay this is starting to get silly,Positivo,0.0,0.625,0.375,0.25
"a gentle reminder what we’ve done with  leading into this etf, we will get to do again the middle of next year with oh and there’s still a halving",Positivo,0.0,0.9,0.1,0.4404
,Neutro,0.0,0.0,0.0,0.0
"binance and okx spot are crazy right now.people keep chasing with 200-300  bids. a lot of them actually get filled too, so it  real and not just a spoof.a big sell wall on binance around 42k also got pulled. full blown fomo season.",Negativo,0.057,0.943,0.0,-0.34
#bitcoin with 8 straight green weekly candlesthis is why you do not  short strong trends.they can stay strong a lot longer than you can stay solvent.,Negativo,0.191,0.742,0.067,-0.5429
"future blue chip — all the stars are aligning for this to have a monster run in 2024-2025the road to +higher 🔥> [](> very honored, excited and proud to receive the corporate innovation award on behalf of  from  during the silicon valley winter summit 🤩> > thank you for an amazing 2 years!> > can’t wait to see what else is in store 👀> >",Positivo,0.0,0.697,0.303,0.9704
#bitcoin / still some gas left in the tank,Neutro,0.0,1.0,0.0,0.0
"draft is ready and will be published shortly on gotta take a moment to appreciate  for his contributionsthere  analysts, and then there  toad. in a league of his own.he  one of the best researchers in the entire web3.0 space,…",Positivo,0.0,0.783,0.217,0.8555
#loom just broke out> [](> #loom,Negativo,0.359,0.641,0.0,-0.4215
#bitcoin slight premium on the perpetual pairs still. does not  really seem to be moving at all just like price.mostly curious to see what happens when we see a big move in price again. for now just a range bound chop and i have no interest trading this.,Positivo,0.043,0.804,0.153,0.6808
"levels i'm watching for #bitcoini'm not shorting, nor calling for downside -- but if we pull back from here, this is where i would  be looking for a reaction.marked in the chart:",Positivo,0.0,0.955,0.045,0.0951
"beautiful pattern to reload for the next move up. pull back into the 50% discount zone, lining up with green box for that abc and a sweep of that swing low now, if you are holding. do not  panic sell here and try to rebuy lower for a few %. you will fail.",Negativo,0.129,0.762,0.109,-0.0511
#bitcointhe line chart offers a kind of simplicity you do not  find anywhere else.as clear as it gets:,Positivo,0.0,0.86,0.14,0.3818
the final hurdle before new #bitcoin all-time highs.,Neutro,0.0,1.0,0.0,0.0
": from here on out, it will only become more difficult to follow the plan. last cycle, i took profits before we even bro…",Positivo,0.109,0.778,0.113,0.0276
nice range here invalidation super easy but risk total 2 always on res,Positivo,0.156,0.472,0.372,0.3919
#hot 🔥 > [](>  is too hot to hold the gains,Positivo,0.0,0.769,0.231,0.34
: all i see is people taking profit and warning of impending 10-15% pullbacks.ya will  not ready for how far this leg from…,Negativo,0.177,0.708,0.114,-0.1556
"#bitcoin vs  in december:meme coins outperforming while the ai, dex & launchpad coins are underperforming.",Neutro,0.0,1.0,0.0,0.0
"if you followed my call on  and joined the ido, you would be up ~20x now. still early days and no more token unlocks for two months!never fade the batman. i'm here to help you win. > [](>  is one of the coins i believe will do very well on launch, so if you like ido sales, i think this could be a top performer.> > i invested in the private sale myself, and have vesting over 18 months. so this is a long term hold for me.",Positivo,0.024,0.825,0.151,0.8897
,Neutro,0.0,0.0,0.0,0.0
the the ones that missed my current view on the market here it is.range between 44 and 40 k with a drop later towards 36/38 k #btcfollowed by up again 🤝 hope it helps and thanks for the support.woke up at 550 k followers 🤎> [](> friends> > my thoughts on #btc pa.> > reminder this are my thoughts and it doesnt mean they will play out> > invalidation ❌️ of this chart if we break 45 k> > range between 44 -40 k. with a drop later to 36/37. ( maybe a wick 35s)> no 30 k anymore. as we went higher then i expected> > gn,Positivo,0.081,0.795,0.123,0.6597
"like many other #altcoins,  looks primed for higher prices.hold on tight, and enjoy the ride.long matic here (sponsored):",Positivo,0.0,0.737,0.263,0.6908
for the kulture,Neutro,0.0,1.0,0.0,0.0
+40% within 2 weeks.do not   sleep on it> [](> i think  is about to rip again.> > most important chart ive been tracking is solbtc and looks like a nice clean abc done with 5 subwaves within the c.> > usd pair is about to rip another 40% or so again in the coming days imo.> > trading sol on bybit 👇>,Positivo,0.0,0.835,0.165,0.8439
👀> [](>  with a 3 wave corrective looking pullback. should pump again soon if recent lows hold,Negativo,0.114,0.886,0.0,-0.2023
"btw the  team are speaking at the #aisummit in new york today (biggest ai event of the year) - showcasing their tech to the worldrevenue likely gonna sky rocketdo not  say you were not  warned> [](>  about to make its 6th attempt at resistance... i do not  think it holds> > market structure still bullish +  is generating more revenue than multi billion  projects, at a mere ... its objectively undervalued > > clean smash above and we are  back in price discovery…",Positivo,0.0,0.965,0.035,0.4019
#bonk (1000bonk on bybit)please repost,Neutro,0.0,1.0,0.0,0.0
monitor for breakout,Neutro,0.0,1.0,0.0,0.0
still holding 99sma support with gooner emas rising and catching upbullish above this support.,Positivo,0.0,0.69,0.31,0.6597
#bitcoinhas been above 4h 22ema (red line) support all of december. as long as it  above there then bullish trend still maintained,Positivo,0.0,0.886,0.114,0.4019
#bitcoin global open interest has gone up about 110% or  since the bottom.it  currently at similar levels as it was in march 2022 when  was trading at .the highest open interest level was not when price made an all time high as can be seen on the chart.,Positivo,0.0,0.885,0.115,0.7184
: arthur hayes keeps stacking at the end of 2024 he will look like a geniuskeep selling your coins cheap to smart money…,Positivo,0.0,0.785,0.215,0.6369
"we are  now in a classical  configuration after losing 1h ema13/21 which supported the move the entire way up.after losing the 1h trend, we just bounced on the 4h ema13/21 trend, but we are  facing the 1h trend as resistance. and i like to call it ""the battle of…",Negativo,0.13,0.779,0.091,-0.2732
"is starting to move.slowly filled up my bags over the past weeks, think this one performs well in the coming months.let  roll!",Positivo,0.0,0.898,0.102,0.3382
"gm☀️well, we got our much needed test… i saw  hit  in premarket as wellnow we just need to holdi think the job data tomorrow should be good and we rally off that as wellhopefully that kicks off the santa claus rally",Positivo,0.0,0.931,0.069,0.4404
#bitcoin is losing the 1h ema cluster (25+50 ema) for the first time since the start of the month.some minor warning signs are starting to show. the 4h trend is still intact.,Negativo,0.14,0.81,0.05,-0.4939
+450% (on 10x) 🔥it hit the target today! and we are ready to long now  #koin> [](> #koin  short set up,Positivo,0.0,0.878,0.122,0.4199
"keeping a close eye on the .88 level. ideally it consolidates a bit there to regain fuel, retakes  and then goes from there.will see what we get!",Positivo,0.0,0.886,0.114,0.4753
"screening some #gamefi tokens again let  look at   ▪️ #ai & #metaverse narrative ▪️ htf breakout end of nov (5x run up) ▪️ s/r flip, support .14 needs to hold for continuation ▪️ mcap: still at ,5m ▪️ planning to launch a meme token90% token burn…",Positivo,0.0,0.941,0.059,0.4019
+300% 🔥 🚀i gave you better entry below 0.013 #grok always gives us quick profit > [](>  #grok at buy zone again> > risky as the   is retracing,Positivo,0.061,0.743,0.196,0.6124
we longing that dip....let  ride,Negativo,0.216,0.784,0.0,-0.0258
looking good...,Neutro,0.0,1.0,0.0,0.0
perfect entry on 4h higher low congrats  #grok> [](>  me bro thanks u,Positivo,0.104,0.398,0.498,0.836
"moves.. just a reminder why you do not  chase a breakout (need to remind myself also)these things almost always come back and test, just have to be patient",Neutro,0.0,1.0,0.0,0.0
"#bitcoinbullish captain hook pattern brewing. watch for a break above ,900 for continuation",Neutro,0.0,1.0,0.0,0.0
straight back to yearly highsyou love to see it > [](>  just corrected 2.78% > > but  barely moved > > 🧐,Positivo,0.0,0.776,0.224,0.4678
fresh local highs,Positivo,0.0,0.465,0.535,0.3182
#hnt back to entry after this drop i'm staying out atm,Negativo,0.192,0.808,0.0,-0.3346
,Neutro,0.0,0.0,0.0,0.0
bid relentless rn> [](>  generational bottom and you all missed it by bearposting the death of,Negativo,0.3,0.64,0.059,-0.7096
boom,Neutro,0.0,1.0,0.0,0.0
"the thorchain team has been working hard on getting tc swaps integrated into dex'es and wallets for some time now - and it’s working.the daily unique swapper count is now consistently over 2,000, which is up from 250-300 just one year ago. this is nearly a 7x increase!",Positivo,0.029,0.917,0.054,0.2942
": gm  ,  is arriving 🙂",Neutro,0.0,1.0,0.0,0.0
bigtime - casual 50% trading range. send it to the range highs anyway. (needs to send from here or i will  have to relong from a lower) #bigtime,Positivo,0.0,0.93,0.07,0.2023
green dildo coming in 1...2...3....,Neutro,0.0,1.0,0.0,0.0
"🚀 🚀 you are  welcome 😉> [](>  #op is gonna break out soon 👀 📈> > 🎯 target - .15> > trade with me here ➡️ > > 🔥 up to 30,000 usdt welcome bonus for new users when they register, deposit & trade!",Positivo,0.0,0.754,0.246,0.8687
my  bags finally moving,Neutro,0.0,1.0,0.0,0.0
chart bazooka candle incoming,Neutro,0.0,1.0,0.0,0.0
"1m ih&s, send it back to 44keks and let  ascend to mid 2ks",Neutro,0.0,1.0,0.0,0.0
seems like  are crushing the ai summit.resistance obliterated. who  ready for the next wave of  price discovery? > [](> btw the  team are speaking at the #aisummit in new york today (biggest ai event of the year) - showcasing their tech to the world> > revenue likely gonna sky rocket> > do not  say you were not  warned,Positivo,0.091,0.798,0.111,0.0552
can we get this teleported to  alrdythanks.,Neutro,0.0,1.0,0.0,0.0
it  time. /,Neutro,0.0,1.0,0.0,0.0
🚀🚀🚀,Neutro,0.0,1.0,0.0,0.0
is about to break out like  👀 📈target .8,Positivo,0.0,0.737,0.263,0.3612
🧲> [](>  can we get this teleported to  alrdy> > thanks.,Positivo,0.0,0.756,0.244,0.4404
this scam coin  uo now o dead lol,Negativo,0.541,0.27,0.189,-0.7351
good consolidation ...hold here and another leg up soon,Positivo,0.0,0.734,0.266,0.4404
closing  #igu and opening a shortrepost for chart 📈,Neutro,0.0,1.0,0.0,0.0
just hit our entry. was watching this for a while but missed the initial break out. waited for the price to come back to us. now we wait for a 70% move.,Negativo,0.088,0.912,0.0,-0.4215
confirming 4hr bottom,Neutro,0.0,1.0,0.0,0.0
enormous ramp up in open interest.spot bid better hold up otherwise this will just do a quick roundtrip back to flush out all those positions.,Positivo,0.0,0.888,0.112,0.4404
i think  on bybit soon 🤝💥> [](> the  community roars! close to 50 million votes cast in  byvotes🔥> > we are aiming to set records!🏆> > #zigbybit> #zigbyvotes,Neutro,0.0,1.0,0.0,0.0
"there are monstrous candles incoming, i'm actually kinda scared",Negativo,0.246,0.754,0.0,-0.3832
": always had a bag of , but finally dipping my toes into sol alts! grabbed some    for the meme potential…",Neutro,0.0,1.0,0.0,0.0
": the key to understanding a #crypto bull market.#bitcoin is king. it leads the alts higher, and when it pulls back, you…",Neutro,0.0,1.0,0.0,0.0
might need to add some of this shitcoin,Neutro,0.0,1.0,0.0,0.0
crashing needs to get it  sh together....,Neutro,0.0,1.0,0.0,0.0
"when it comes to #ai and #supplychain its  that leads with real innovation and a working product.🤝> [](> announcement📢  is proudly becoming an innovation sponsor of the #gs1globalforum2024!> > the week will feature a series of cutting edge solutions with the latest innovations combining  standards with decentralized #ai, real world assets #rwa and #blockchain.",Positivo,0.025,0.763,0.212,0.8748
another one!,Neutro,0.0,1.0,0.0,0.0
"i gave u  at .61i gave you  at .00256i gave you  before it did x10 and in the past months i have hinted about this coin is the next x100. anyone who doubted me will be furious, it  coming do not  fight it",Negativo,0.129,0.823,0.049,-0.5597
what most fail to realize is that we are  in the process of flipping this macro mid-range at 43k right now.#bitcoin,Negativo,0.159,0.841,0.0,-0.5849
"getting ready for a massive mark up phase leg imo, the usd pair accumulating hard as is the btc pair which is even more clear with a 5 wave rise from the lows, a 3 wave abc down and now a nice engulfing on daily.legit potential for a 100% move imo.trading this on bybit…",Positivo,0.06,0.787,0.153,0.7178
we should be getting a decent sized bounce here imo /,Neutro,0.0,1.0,0.0,0.0
swept the lows. /,Negativo,0.474,0.526,0.0,-0.2023
was not  done testing,Neutro,0.0,1.0,0.0,0.0
important area,Positivo,0.0,0.357,0.643,0.2023
"- loaded and waiting, looks so ready 🎯",Positivo,0.0,0.607,0.393,0.5009
"got stopped in nice profit so i went back in lower, and bigger",Positivo,0.23,0.449,0.32,0.3818
huge move by  🎯> [](> ⛩ katana inu is excited to join  in the citadel alongside  community! ❤️‍🔥> > thanks to neo tokyo for bringing web3 gaming and gaming projects together.> > we are  ready to forge bonds with web3 communities and add value to the citadel so projects hit us up! 🤝,Positivo,0.0,0.738,0.262,0.9229
"anon: i see only results, not trade setups... who else gives such a clear trade set up?850% on 10x from entry, just hit today!🔥as i said earlier, longs (bulls) requires lot of patience and shorts (bears) - self control> [](>  #igu long",Positivo,0.0,0.928,0.072,0.4389
long,Neutro,0.0,1.0,0.0,0.0
"and there it is, the market is finally getting frothy.it took  rallying 180% from the bottom before people started going long.times change people do not , do they.",Neutro,0.0,1.0,0.0,0.0
🍆 🤝> [](>  soon,Neutro,0.0,1.0,0.0,0.0
,Neutro,0.0,0.0,0.0,0.0
setting up for a massive run in 2024,Neutro,0.0,1.0,0.0,0.0
": i made over ,000 with the  airdophere is my path so you can do the same with other airdrops...",Neutro,0.0,1.0,0.0,0.0
multix anticipated 🔥> [](>   > > > > #jito #solana > >   > >,Neutro,0.0,1.0,0.0,0.0
oooooh yeah,Positivo,0.0,0.312,0.688,0.296
> [](> > should start moving soon once we clear this.,Positivo,0.0,0.755,0.245,0.3818
"mac knows > [](> i gave u  at .61> i gave you  at .00256> i gave you  before it did x10 > > and in the past months i have hinted about this coin is the next x100. anyone who doubted me will be furious, it  coming do not  fight it",Negativo,0.121,0.834,0.046,-0.5597
#grok,Neutro,0.0,1.0,0.0,0.0
bull market targetseasily attainable if  goes to 100k.> [](>  - solana tp levels,Neutro,0.0,1.0,0.0,0.0
up close testing,Neutro,0.0,1.0,0.0,0.0
": #bitcoin vs  in december:meme coins outperforming while the ai, dex & launchpad coins are underperforming.",Neutro,0.0,1.0,0.0,0.0
: hmmmmm ace?? as in ???? as in   ????????????lets gooooooo,Neutro,0.0,1.0,0.0,0.0
: clearly    card says it all.,Positivo,0.0,0.597,0.403,0.4019
1hr,Neutro,0.0,1.0,0.0,0.0
let  get above 43350 and confirm that 1hr bottom,Neutro,0.0,1.0,0.0,0.0
#bitcoin pretty clear who won the race in q4 so far.,Positivo,0.0,0.457,0.543,0.8591
"mac knowsace…..….  🤔 next x100….…   🤔 feww> [](> i gave u  at .61> i gave you  at .00256> i gave you  before it did x10 > > and in the past months i have hinted about this coin is the next x100. anyone who doubted me will be furious, it  coming do not  fight it",Negativo,0.114,0.843,0.043,-0.5597
": time for the  research thread, as promised.this is another new cycle coin that has now joined the likes of my convictio…",Positivo,0.0,0.877,0.123,0.4215
i'm long  #jto,Neutro,0.0,1.0,0.0,0.0
"it pumped  #arb > [](> #arb  did not join the pump this season> > technically it is ready> > if you know any reason it is not moving up, fundamentals or anything pls comment here",Negativo,0.057,0.904,0.039,-0.1501
#ordi closing confused signal in other words neutrali do not  want to lose my profit,Positivo,0.179,0.559,0.262,0.3891
"it pumped  #arb > [](> #arb  did not join the pump this season> > technically it is ready> > if you know any reason it is not moving up, fundamentals or anything pls comment here",Negativo,0.057,0.904,0.039,-0.1501
#ordi closing confused signal in other words neutrali do not  want to lose my profit,Positivo,0.179,0.559,0.262,0.3891
: you are not ready for what  going to happen with . have a look at the volume at the lows. people are preparing but yo…,Negativo,0.123,0.877,0.0,-0.2394
bought at 2.5 mil marketcap and now trading at 45 mil marketcap.🤝💥 not planning to sell anytime soon 🧲> [](> added some  to the portfolio aswell. 2.5 mil marketcap. game looks insane.>,Neutro,0.0,1.0,0.0,0.0
"#altcoins flying while #bitcoin struggles for a reclaim. i dunno man, i would  be cautious here.",Negativo,0.262,0.738,0.0,-0.4404
is breaking out! this usually means alts will follow soon!,Neutro,0.0,1.0,0.0,0.0
important level for  right here....consolidating below key level. this is gonna break out which also means a full retrace from when the selling started because of the liquidity issues. back on track!,Positivo,0.0,0.935,0.065,0.2714
about to move,Neutro,0.0,1.0,0.0,0.0
,Neutro,0.0,0.0,0.0,0.0
weekly levelsbuckle up,Neutro,0.0,1.0,0.0,0.0
short the strongest eth beta of the day,Positivo,0.0,0.707,0.293,0.4404
.69> [](>  to .420 for the culture,Neutro,0.0,1.0,0.0,0.0
we meet again,Neutro,0.0,1.0,0.0,0.0
this mfer is refusing to make it easy for usbouncing on the line,Positivo,0.163,0.663,0.175,0.0516
"#bitcoin - i could still be holding this trade from the exact bottom and saying i'm selling it at ,279 today and twitter would still find a problem with it.> [](> closing the 100x #bitcoin    long today. realizing profits on this and sending off the exchange. exposure is still very heavy in the markets but it never hurts to take profits.",Positivo,0.028,0.831,0.141,0.8064
"if you held #bitcoin from the exact bottom at ,700 and sold today at ,281 you would  have about a 170% return on the year. i had a 205% return trading  on the year and that  why i sold ""early"". any higher and i was being greedy.",Negativo,0.053,0.947,0.0,-0.3182
uh oh  buyooors > [](> we are now max short  at an average price of .825 with a hard stop above .111,Negativo,0.167,0.833,0.0,-0.3818
pair btc,Neutro,0.0,1.0,0.0,0.0
short,Neutro,0.0,1.0,0.0,0.0
- i do not  think we will  have as wild of an alt season but there  definitely upside for those that are patient enough. a 100% move for example when you zoom out does not  seem unrealistic.,Positivo,0.0,0.903,0.097,0.5499
"huge partnership comfy longterm hodl.> [](> thrilled to announce our exclusive partnership with  to leverage our ai and metaverse technology to revolutionize digital fashion.> > together, we introduce . coming 2024.",Positivo,0.0,0.795,0.205,0.6908
like a ramp,Positivo,0.0,0.286,0.714,0.3612
on the wings of love....,Neutro,0.0,1.0,0.0,0.0
congrats #noanfam  #jto 🥳🎉,Positivo,0.0,0.469,0.531,0.5267
"110% later...> [](>  coming in hot with the 3 week range break, i think this is gearing up for 100% or so move up.> > basically the lido of sol but trading at 1/50th of the market cap.> > not for much longer imo.",Neutro,0.0,1.0,0.0,0.0
i longed #mubi  > [](>  #mubi would pump hard like    > > closed spot n waiting for retracement to open long on #mexc,Positivo,0.07,0.804,0.126,0.2732
"so far so good, bounce holding..jobs report tomorrow, we will  see what effect that has, i think positive",Positivo,0.0,0.662,0.338,0.8258
"clean chart, coinbase instead of my binance with the low time frame lines on itrsi a bit crazy but ya know..",Negativo,0.147,0.769,0.084,-0.1027
green arrow 1hre,Neutro,0.0,1.0,0.0,0.0
70 american bald eagle dollars> [](> i think head and shoulder bro  about to get baited big time on,Neutro,0.0,1.0,0.0,0.0
🟢  🟢📈 +7% 📈,Neutro,0.0,1.0,0.0,0.0
"have not opened my phantom wallet in a while, have  worth of  for some reason?thing is crazy, what is this?",Negativo,0.127,0.785,0.088,-0.2168
i was clearly playing the wrong l2  with,Positivo,0.267,0.345,0.388,0.1027
i own no  but charts like this have been popping off latelylooks solid,Positivo,0.102,0.571,0.327,0.5499
take partial profit and let the remaining ride#bone,Positivo,0.0,0.707,0.293,0.4404
"really annoying that ,000 in  from any point of a 6-month range is now worth ,000+ and i didn’t buy any.",Negativo,0.137,0.777,0.087,-0.2716
opened a  #perp long repost for chart,Neutro,0.0,1.0,0.0,0.0
+1000% coming soon?  #jto,Neutro,0.0,1.0,0.0,0.0
#igu break-evendecide if you wanna hold or exit i'm holding 50%,Neutro,0.0,1.0,0.0,0.0
#mubi  nice gains 🥳,Positivo,0.0,0.161,0.839,0.6369
"#pyth trying to flip resistance to support, if successful it will surge 🚀",Positivo,0.0,0.606,0.394,0.7579
"going for the next leg -- targeting ±.one of the comfiest holds of this cycle so far, and i do not  think that changes anytime soon.",Neutro,0.0,1.0,0.0,0.0
"is breaking out to new highs!after accumulating this one for weeks, it  finally starting to move higher.send it!",Neutro,0.0,1.0,0.0,0.0
"what a chad> [](> > > 13.4r ✅> > congrats to those who won, it  a beautiful start to a beautiful friday ❤️",Positivo,0.0,0.466,0.534,0.9423
"would be very good for the market if #bitcoin spent the rest of the year consolidating below ,000.if it pushes through in one go, pretty sure this cycle is going to be even more btc-dominated than i thought.",Positivo,0.0,0.796,0.204,0.8268
"#bitcoin starting to outperform my plan.been a loud bull since the bottom, and yet the market is telling me i'm not bullish enough.time to fuck around and find out what this market is made of. target 1: ,000.target 2: ,000.let  roll.",Negativo,0.082,0.918,0.0,-0.5423
shorted #btc just now.,Neutro,0.0,1.0,0.0,0.0
so many people laughed at these comparisons 6 months ago.they are  not laughing now.history is repeating. get on the programme.#bitcoin,Positivo,0.115,0.743,0.143,0.162
"after 18 months of accumulation,  is finally on its way.people forget how hard this thing can move.",Negativo,0.18,0.82,0.0,-0.3182
me when i see the 1w ichi setup on .> [](> typical cardano enjoyoor.,Neutro,0.0,1.0,0.0,0.0
"sniper entry, all planned days ahead 🎯i notice some xcad fanboys commenting that the target is way too low,  let me explain.we are different: you are an investor, i'm a trader. a target on a chart does not  mean i expect a big downfall from there. it  a level where i…",Negativo,0.046,0.954,0.0,-0.2732
will remain a good coin to scalp on the lower timeframes as volume and volatility is very high.i'm watching the range low/high to trade a possible sweep. will see what we get!get up to a  deposit bonus & support me:,Positivo,0.05,0.734,0.215,0.8016
you ask me about i will only take action if he gives me a stop run in the box down there,Negativo,0.109,0.891,0.0,-0.296
"really annoying that ,000 in  from any point of a 6-month range is now worth ,000+ and i didn’t buy any.",Negativo,0.137,0.777,0.087,-0.2716
opened a  #perp long repost for chart,Neutro,0.0,1.0,0.0,0.0
+1000% coming soon?  #jto,Neutro,0.0,1.0,0.0,0.0
: 70 american bald eagle dollars,Neutro,0.0,1.0,0.0,0.0
#igu break-evendecide if you wanna hold or exit i'm holding 50%,Neutro,0.0,1.0,0.0,0.0
#mubi  nice gains 🥳,Positivo,0.0,0.161,0.839,0.6369
"#pyth trying to flip resistance to support, if successful it will surge 🚀",Positivo,0.0,0.606,0.394,0.7579
"going for the next leg -- targeting ±.one of the comfiest holds of this cycle so far, and i do not  think that changes anytime soon.",Neutro,0.0,1.0,0.0,0.0
"is breaking out to new highs!after accumulating this one for weeks, it  finally starting to move higher.send it!",Neutro,0.0,1.0,0.0,0.0
"what a chad> [](> > > 13.4r ✅> > congrats to those who won, it  a beautiful start to a beautiful friday ❤️",Positivo,0.0,0.466,0.534,0.9423
"would be very good for the market if #bitcoin spent the rest of the year consolidating below ,000.if it pushes through in one go, pretty sure this cycle is going to be even more btc-dominated than i thought.",Positivo,0.0,0.796,0.204,0.8268
"#bitcoin starting to outperform my plan.been a loud bull since the bottom, and yet the market is telling me i'm not bullish enough.time to fuck around and find out what this market is made of. target 1: ,000.target 2: ,000.let  roll.",Negativo,0.082,0.918,0.0,-0.5423
so many people laughed at these comparisons 6 months ago.they are  not laughing now.history is repeating. get on the programme.#bitcoin,Positivo,0.115,0.743,0.143,0.162
"after 18 months of accumulation,  is finally on its way.people forget how hard this thing can move.",Negativo,0.18,0.82,0.0,-0.3182
me when i see the 1w ichi setup on .> [](> typical cardano enjoyoor.,Neutro,0.0,1.0,0.0,0.0
will remain a good coin to scalp on the lower timeframes as volume and volatility is very high.i'm watching the range low/high to trade a possible sweep. will see what we get!get up to a  deposit bonus & support me:,Positivo,0.05,0.734,0.215,0.8016
: would you survive this?#bitcoin,Neutro,0.0,1.0,0.0,0.0
looks primed to break into new all-time highs.i'm ready. are you?,Positivo,0.0,0.8,0.2,0.3612
"daily reminder to stick to the plan.for me, that means no selling, no withdrawing, but no depositing either until we reach new all-time highs.comfortably exposed, riding my bags into the sunset. #bitcoin",Negativo,0.209,0.758,0.032,-0.6486
gm  holders,Neutro,0.0,1.0,0.0,0.0
- the slightest close above here and we get another new  ath.volumes absolutely soaring currently 🎯,Neutro,0.0,1.0,0.0,0.0
"after yesterday  move to new yearly highs, the perpetual premium on eth shot closes to it  highest level this year.this has made funding rates move up which means longs are paying more to shorts to keep their positions open.",Neutro,0.0,1.0,0.0,0.0
new ath still holding my baggs since 1.2 🤝,Neutro,0.0,1.0,0.0,0.0
